,X,Y
0,0.0,0.0
1,-5.090549893628634,2.436107366063127
2,-12.486564608961581,1.8420756192176786
3,-19.84905871414348,0.9102219557356175
4,-27.1867272027952,-0.20117826974028555
5,-34.49991523419332,-1.4637147195144213
6,-41.783714362984625,-2.8858385494509293
7,-49.02855859674277,-4.494309824119525
8,-56.218546269596246,-6.3319281863858645
9,-63.32817263107183,-8.45847205398107
10,-70.3162431743258,-10.954273163340833
11,-77.11656341668213,-13.921736146175801
12,-83.62340899013148,-17.484264688683023
13,-89.6800641662916,-21.764535255473657
14,-95.08907884762476,-26.836164790804737
15,-99.68189543964029,-32.65698611131222
16,-103.41547837928773,-39.06497029338977
17,-106.40594391069219,-45.854200299292515
18,-108.86101005636881,-52.856650824373645
19,-110.99767958678987,-59.96361443427432
20,-113.00138613994613,-67.1094920610354
21,-115.0150937523029,-74.25254790201686
22,-117.13999936269707,-81.3632053635249
23,-119.43619745149165,-88.42032339715786
24,-121.91830133620601,-95.41424494442909
25,-124.53768705234341,-102.35807668173067
26,-127.1224917297241,-109.31462630958823
27,-129.10599099546567,-116.45676304561051
28,-127.93264610734822,-123.57202810584751
29,-121.62029976759752,-127.2260574419078
30,-114.31887211608922,-128.5048501112766
31,-106.91362812623099,-128.9724685128968
32,-99.49308241150133,-129.061760751422
33,-92.07277416554615,-128.93748373660787
34,-84.65586391378008,-128.67834370935498
35,-77.24267590327187,-128.32784004358504
36,-69.83282069051282,-127.91253344071885
37,-62.425798789065595,-127.44930837980458
38,-55.02113570011221,-126.94973160254939
39,-47.618434441946164,-126.42184923712597
40,-40.21735792394478,-125.87164010622243
41,-32.817633936881734,-125.30351961656065
42,-25.41905433162788,-124.72067885756351
43,-18.021439586492694,-124.12571330854504
44,-10.624646435971405,-123.52061665658238
45,-3.228560073328333,-122.90693962315925
46,4.166914389969844,-122.28593081107473
47,11.561855705034345,-121.65860431203099
48,18.956329589417475,-121.02579120705047
49,26.350388771131513,-120.38815041560393
50,33.74408593460503,-119.74632527026934
51,41.13746482811123,-119.10084395095572
52,48.53056584427656,-118.45218743054855
53,55.923427511363634,-117.80080850487592
54,63.3160941174334,-117.14721937475953
55,70.70861083549546,-116.4919369611276
56,78.10102945323118,-115.8355486789492
57,85.4934117879882,-115.17875185605726
58,92.88583390923394,-114.522403047904
59,100.2783914212604,-113.86758117188377
60,107.67120608485234,-113.21566953540494
61,115.06443406528442,-112.56846345737456
62,122.45828136609803,-111.9283741791451
63,129.85302139579085,-111.29868735546422
64,137.24902249265585,-110.68400069929265
65,144.64677804013192,-110.09082655665645
66,152.04695974146574,-109.52878483199592
67,159.45047182887131,-109.01259926240985
68,166.85851922379797,-108.56661438024612
69,174.27240628702057,-108.23311552307774
70,181.6922466886844,-108.09607210351432
71,189.1070761740278,-108.3598853101469
72,196.36879971715476,-109.764327201975
73,199.94928150108544,-115.49005896477759
74,197.3706720365016,-122.4167448174989
75,193.83074682128097,-128.93886488667934
76,190.1921736855728,-135.40719437385465
77,186.64792874467147,-141.92754291574576
78,183.26022099521128,-148.53050392853265
79,180.04255065226832,-155.21798632269454
80,176.9811383672662,-161.97848750482498
81,174.0428216248281,-168.79346742711908
82,171.17836247259513,-175.63988020686102
83,168.3228799195825,-182.49004988654863
84,165.3955047146356,-189.30970992855728
85,162.2984400470111,-196.05372945894123
86,158.91616681412373,-202.6587434657602
87,155.12232376748725,-209.0352136066465
88,150.79217594739973,-215.058766046888
89,145.83189930900014,-220.5730561299571
90,140.21540044861814,-225.41569472267045
91,134.00401788479303,-229.4672323782788
92,127.32145476154466,-232.68464700017122
93,120.31217883673901,-235.112630710072
94,113.0968424360586,-236.83885734872834
95,105.76374264484224,-237.96963912191447
96,98.37021127318486,-238.59973973985305
97,90.95268732602811,-238.8164586322723
98,83.532708633185,-238.69450698197932
99,76.12006617603964,-238.33466103848662
100,76.71709685120732,-239.68358988978434
